item,trial_type,Group ,pic_width,pic_height,Prime_word,Target_word,Prime_pic_correct,Prime_pic_distract,Target_pic_correct,Target_pic_distract,prime_sound,target_sound,prime_soundfile,target_soundfile
28,filler,A,,,orange,shoe,orange_c.png,orange_w.png,shoe_c.png,shoe_w.png,orange.wav,shoe.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/orange.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/shoe.wav?raw=true
29,filler,A,,,bed,frog,bed_c.png,bed_w.png,frog_c.png,frog_w.png,bed.wav,frog.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/bed.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/frog.wav?raw=true
30,filler,A,,,boat,sock,boat_c.png,boat_w.png,sock_c.png,sock_w.png,boat.wav,sock.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/boat.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/sock.wav?raw=true
31,filler,A,,,mouse,cake,mouse_c.png,mouse_w.png,cake_c.png,cake_w.png,mouse.wav,cake.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/mouse.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/cake.wav?raw=true
1,in prime,B,,,clappin,clapping,clapping_c.png,clapping_pw.png,clapping_c.png,clapping_tw.png,clappin.wav,clapping.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/clappin.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/clapping.wav?raw=true
2,ing prime,B,,,kicking,kicking,kicking_c.png,kicking_pw.png,kicking_c.png,kicking_tw.png,kicking.wav,kicking.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/kicking.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/kicking.wav?raw=true
3,unrel prime,B,,,turtle,dancing,turtle_c.png,turtle_w.png,dancing_c.png,dancing_tw.png,turtle.wav,dancing.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/turtle.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/dancing.wav?raw=true
4,in prime,B,,,drawin,drawing,drawing_c.png,drawing_pw.png,drawing_c.png,drawing_tw.png,drawin.wav,drawing.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/drawin.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/drawing.wav?raw=true
5,ing prime,B,,,driving,driving,driving_c.png,driving_pw.png,driving_c.png,driving_tw.png,driving.wav,driving.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/driving.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/driving.wav?raw=true
6,unrel prime,B,,,puppy,singing,puppy_c.png,puppy_w.png,singing_c.png,singing_tw.png,puppy.wav,singing.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/puppy.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/singing.wav?raw=true
7,in prime,B,,,runnin,running,running_c.png,running_pw.png,running_c.png,running_tw.png,runnin.wav,running.wav,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/runnin.wav?raw=true,https://github.com/avray327/child-ing-study/blob/main/sample%20audio/running.wav?raw=true
